# Format: phys_addr_of_target_byte bit_offset_within_taregt_byte flip_direction phys_addr_of_aggr1,phys_addr_of_aggr1,... init_value_for_all_aggressors
0x4e2ae764 6 + 0x4e28c000,0x4e2c8000 0xff
0x4e2c70ee 2 + 0x4e2a0000,0x4e2e4000 0xff
0x4e33784f 6 + 0x4e314000,0x4e350000 0xff
0x4e3fa265 4 + 0x4e3d8000,0x4e404000 0xff
0x4e3fb465 4 + 0x4e3d8000,0x4e404000 0xff
0x4e40554e 5 + 0x4e3fa000,0x4e426000 0xff
0x4e4830de 1 + 0x4e46c000,0x4e4a0000 0xff
0x4e4833e2 2 + 0x4e46c000,0x4e4a0000 0xff
0x4e483efc 3 + 0x4e46c000,0x4e4a0000 0xff
0x4e5fbade 3 + 0x4e5d8000,0x4e604000 0xff
0x4e64f345 3 + 0x4e628000,0x4e66c000 0xff
0x4e77cef4 3 + 0x4e75e000,0x4e792000 0xff
0x4e792373 3 + 0x4e77c000,0x4e7b0000 0xff
0x4e7bfaef 1 + 0x4e79c000,0x4e7d8000 0xff
0x4e7fbac2 3 + 0x4e7d8000,0x4e804000 0xff
# comment
0x4e3369d2 6 - 0x4e314000,0x4e350000 0x0
0x4e3fa878 4 - 0x4e3d8000,0x4e404000 0x0
0x4e4412fe 0 - 0x4e426000,0x4e462000 0x0
0x4e462c41 3 - 0x4e440000,0x4e48c000 0x0
0x4e4a0fd3 7 - 0x4e482000,0x4e4c6000 0x0
0x4e4afc5d 2 - 0x4e48c000,0x4e4c8000 0x0
0x4e4affea 1 - 0x4e48c000,0x4e4c8000 0x0
0x4e4c6a6a 2 - 0x4e4a0000,0x4e4e4000 0x0
0x4e4c7b6c 5 - 0x4e4a0000,0x4e4e4000 0x0
0x4e4ea746 4 - 0x4e4c8000,0x4e514000 0x0
0x4e515668 1 - 0x4e4ea000,0x4e536000 0x0
0x4e592252 2 - 0x4e57c000,0x4e5b0000 0x0
0x4e5d674c 6 - 0x4e5b0000,0x4e5f4000 0x0
0x4e750fd1 4 - 0x4e736000,0x4e772000 0x0
0x4e7d867e 1 - 0x4e7be000,0x4e7fa000 0x0
